id,title,categories,date,path
1,1990-2021 UK Air Quality Emissions (Including projections to 2040) Informative Inventory Report,UNECE Reporting,15/03/2023,https://naei.beis.gov.uk/reports/reports?report_id=1109
2,1990-2020 UK Air Quality Emissions Informative Inventory Report,UNECE Reporting,15/03/2022,https://naei.beis.gov.uk/reports/reports?report_id=1071
3,1990-2019 UK Air Quality Emissions (Including projections to 2030) Informative Inventory Report,UNECE Reporting,15/03/2021,https://naei.beis.gov.uk/reports/reports?report_id=1016
4,1990-2018 UK Air Quality Emissions (Including projections to 2030) Informative Inventory Report,UNECE Reporting,15/03/2020,https://naei.beis.gov.uk/reports/reports?report_id=999
5,1990-2017 UK Air Quality Emissions (Including projections to 2030) Informative Inventory Report,UNECE Reporting,15/03/2019,https://naei.beis.gov.uk/reports/reports?report_id=978
6,1990-2021 UK Greenhouse Gas Emissions National Inventory Report,UNFCCC Reporting,17/04/2023,https://naei.beis.gov.uk/reports/reports?report_id=1108
7,1990-2020 UK Greenhouse Gas Emissions National Inventory Report,UNFCCC Reporting,15/04/2022,https://naei.beis.gov.uk/reports/reports?report_id=1072
8,1990-2019 UK Greenhouse Gas Emissions National Inventory Report,UNFCCC Reporting,15/04/2021,https://naei.beis.gov.uk/reports/reports?report_id=1015
9,1990-2018 UK Greenhouse Gas Emissions National Inventory Report,UNFCCC Reporting,15/04/2020,https://naei.beis.gov.uk/reports/reports?report_id=998
10,2021 UK Spatial Emissions Methodology,UK Spatial Data,06/07/2023,https://naei.beis.gov.uk/reports/reports?report_id=1112
11,UK Emissions from Upstream Oil and Gas,Emissions Research,07/07/2023,https://naei.beis.gov.uk/reports/reports?report_id=1115
12,2005-2021 Devolved Administration Air Quality Emissions,Devolved Administration Emissions,26/10/2023,https://naei.beis.gov.uk/reports/reports?report_id=1131
13,1990-2018 Devolved Administration Air Quality Emissions,Devolved Administration Emissions,22/10/2020,https://naei.beis.gov.uk/reports/reports?report_id=1010
14,1990-2021 Devolved Administration Greenhouse Gas Emissions,Devolved Administration Emissions,20/06/2023,https://naei.beis.gov.uk/reports/reports?report_id=1110
15,1990-2020 Devolved Administration Greenhouse Gas Emissions,Devolved Administration Emissions,20/09/2022,https://naei.beis.gov.uk/reports/reports?report_id=1080
16,1990-2019 Devolved Administration Greenhouse Gas Emissions,Devolved Administration Emissions,15/06/2021,https://naei.beis.gov.uk/reports/reports?report_id=1019
17,1990-2018 Devolved Administration Greenhouse Gas Emissions,Devolved Administration Emissions,16/06/2020,https://naei.beis.gov.uk/reports/reports?report_id=1000
18,1990-2020 UK Air Quality Emissions Projections to 2030 Informative Inventory Report,UNECE Reporting,25/07/2022,https://naei.beis.gov.uk/reports/reports?report_id=1085
19,Gibraltar City Inventory 2019,Non-UK Emissions,21/06/2022,https://www.gibraltar.gov.gi/uploads/environment/GHG%20Inventory/2019-GibraltarCityInventory_Report_FINAL.pdf
20,Gibraltar City Inventory 2018,Non-UK Emissions,16/06/2021,https://www.gibraltar.gov.gi/uploads/environment/GHG%20Inventory/2018-GibraltarCityInventory_Report_Final.pdf
21,Air Quality Expert Group - Indoor Air Quality,Emissions Research,01/11/2022,https://uk-air.defra.gov.uk/assets/documents/reports/cat09/2211011000_15062022_Indoor_Air_Quality_Report_Final.pdf
22,Revising VOC emissions speciation improves global simulations of ethane and propane,Emissions Research,08/11/2023,https://egusphere.copernicus.org/preprints/2023/egusphere-2023-2557/
23,"The impact multi-decadal of changes in VOCs speciation on urban ozone chemistry: A case study in Birmingham, United Kingdom",Emissions Research,19/10/2023,https://egusphere.copernicus.org/preprints/2023/egusphere-2023-2294/
